1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
236	AvalonBay Communities Inc.	AVB	0.086072	   160.42	4.41	(2.83%)
237	Trane Technologies plc	TT	0.085667	   90.43	0.22	(0.24%)
238	PPL Corporation	PPL	0.085008	   28.51	0.57	(2.04%)
239	McCormick & Company Incorporated	MKC	0.08453	   176.57	1.41	(0.80%)
240	Otis Worldwide Corporation	OTIS	0.08439	   54.08	1.43	(2.72%)
241	Equity Residential	EQR	0.08359	   61.10	0.54	(0.89%)
242	TransDigm Group Incorporated	TDG	0.083504	   438.79	13.97	(3.29%)
243	FleetCor Technologies Inc.	FLT	0.082934	   246.43	2.64	(1.08%)
244	Edison International	EIX	0.082398	   59.25	1.14	(1.96%)
245	AMETEK Inc.	AME	0.082196	   92.02	0.31	(0.34%)
246	DTE Energy Company	DTE	0.081652	   108.42	0.85	(0.79%)
247	Cintas Corporation	CTAS	0.081489	   252.40	4.44	(1.79%)
248	Welltower Inc.	WELL	0.081184	   53.07	2.40	(4.74%)
249	Corteva Inc	CTVA	0.080789	   26.82	-0.49	(-1.79%)
250	Entergy Corporation	ETR	0.080154	   102.68	0.86	(0.84%)
251	Skyworks Solutions Inc.	SWKS	0.080079	   118.38	-0.16	(-0.13%)
252	Keysight Technologies Inc	KEYS	0.080016	   106.93	-1.20	(-1.11%)
253	Hershey Company	HSY	0.079568	   136.43	0.75	(0.55%)
254	Fortinet Inc.	FTNT	0.078222	   144.50	5.30	(3.81%)
255	Mettler-Toledo International Inc.	MTD	0.076609	   803.43	8.43	(1.06%)
256	Aptiv PLC	APTV	0.076061	   76.64	1.29	(1.71%)
257	MarketAxess Holdings Inc.	MKTX	0.075813	   519.42	10.83	(2.13%)
258	Realty Income Corporation	O	0.075157	   56.57	1.26	(2.28%)
259	Stanley Black & Decker Inc.	SWK	0.074972	   125.09	-0.36	(-0.29%)
260	Kraft Heinz Company	KHC	0.074687	   30.33	-0.14	(-0.46%)
261	Alexandria Real Estate Equities Inc.	ARE	0.07466	   154.10	0.38	(0.25%)
262	D.R. Horton Inc.	DHI	0.073536	   54.99	-0.31	(-0.56%)
